ID,gend,grade,sleeping,eating,healthfood,drink_amount,drink_place,drink_hope,drink_n_bodyq,drink_y_worry,drink_y_continue,stress2,stress3
1,1,3,2,2,1,5,3,2,1,1,1,4.2,4.7
2,1,3,2,2,1,5,3,2,2,2,1,4.2,4.2
3,1,1,4,1,3,5,3,2,1,1,1,3.7,3.7
4,1,1,2,1,3,5,1,2,1,2,3,2.8,2.8
5,1,3,3,2,5,5,3,2,1,2,2,3.5,3.5
6,1,3,2,2,5,5,2,2,1,1,1,4.3,4.3
7,1,3,2,2,2,4,3,8,2,1,1,3.3,3.3
8,1,3,2,2,2,4,3,8,3,2,1,2.8,2.8
9,1,2,2,2,2,2,1,8,1,2,1,2.7,2.8
10,1,2,2,2,1,3,3,8,1,1,1,3.3,3.4
11,1,2,3,2,1,4,2,8,1,1,1,3,3.2
12,1,2,3,2,1,3,3,5,1,1,1,3,3
13,1,2,2,2,4,3,3,1,3,2,3,2.8,2.8
14,1,2,3,2,4,3,3,2,3,1,1,2.8,2.8
15,1,2,2,2,3,3,2,2,3,1,1,2.8,3
16,1,2,2,2,1,3,2,2,3,2,1,3,3
17,1,3,3,2,2,4,1,2,1,1,1,3.7,3.7
18,1,1,2,2,4,5,3,2,1,1,1,4,4.2
19,1,2,2,2,4,3,3,2,1,1,1,3,3
20,1,2,2,1,1,2,1,2,1,2,1,2.8,3
21,1,2,3,1,2,3,1,7,4,1,1,3.2,3.2
22,1,1,2,1,2,3,1,5,4,1,1,2.7,2.7
23,1,1,2,2,4,3,4,6,4,1,1,2.7,2.8
24,1,2,2,1,4,3,3,2,1,2,1,2.8,2.8
25,1,2,2,1,3,2,3,2,4,1,1,2.5,2.5
26,1,2,2,1,4,2,3,2,1,1,1,3.7,3.7
27,1,2,2,2,2,2,3,2,1,1,1,2.7,2.7
28,1,2,4,2,2,2,2,2,1,1,1,3.2,3.2
29,1,2,4,2,2,2,4,2,2,1,1,2.7,2.8
30,1,2,2,2,3,2,2,6,3,1,1,2.8,2.8
31,1,2,2,2,3,2,3,7,4,1,1,2.8,2.8
32,1,2,2,2,1,2,3,5,1,2,2,2.7,2.7
33,1,1,3,2,4,2,1,7,1,1,2,2.5,2.6
34,1,2,3,2,1,2,4,5,4,2,1,2.7,2.8
35,2,2,2,2,4,2,3,1,5,1,1,2.7,2.7
36,2,1,3,2,3,2,3,2,5,1,1,2.8,2.8
37,2,2,3,2,4,2,1,2,1,1,2,3.8,3.8
38,2,2,3,2,2,2,3,2,1,1,1,3.8,3.8
39,2,2,3,2,4,1,5,4,6,1,1,2.5,3.3
40,2,1,3,1,3,1,5,3,6,1,2,2.7,2.8
41,1,3,2,1,1,5,3,2,2,1,1,4.2,4.7
42,1,3,2,1,2,5,1,2,2,1,1,4.2,4.2
