"year","cdr","tfr","marn","leo"
1970,8,4.53,295137,62.3
1971,7.2,4.54,239457,62.7
1972,6.3,4.12,244780,63.1
1973,7.8,4.07,259112,63.5
1974,7.2,3.77,259604,63.9
1975,7.7,3.43,283226,64.2
1976,7.4,3,285910,64.6
1977,6.8,2.99,303156,65
1978,6.8,2.64,343013,65.3
1979,6.4,2.9,353824,65.6
1980,7.3,2.82,403031,66.1
1981,6.1,2.57,406795,66.7
1982,6.2,2.39,387468,67.2
1983,6.4,2.06,412984,67.7
1984,5.9,1.74,385188,68.3
1985,5.9,1.66,384686,68.9
1986,5.8,1.58,390229,69.5
1987,5.9,1.53,390276,70.1
1988,5.6,1.55,410129,70.7
1989,5.6,1.56,410708,71.2
1990,5.6,1.57,399312,71.7
1991,5.6,1.71,416872,72.2
1992,5.4,1.76,419774,72.6
1993,5.2,1.654,402593,73.1
1994,5.4,1.656,393121,73.5
1995,5.3,1.634,398484,73.8
1996,5.2,1.574,434911,74.2
1997,5.3,1.537,388960,74.7
1998,5.2,1.464,373500,75.1
1999,5.3,1.425,360407,75.5
2000,5.2,1.48,332090,76
2001,5.1,1.309,318407,76.5
2002,5.1,1.178,304877,76.8
2003,5.1,1.191,302503,77.3
2004,5.1,1.164,308598,77.8
2005,5.1,1.085,314304,78.2
2006,5,1.132,330634,78.8
2007,5,1.259,343559,79.2
2008,5,1.192,327715,79.6
2009,5,1.149,309759,80
2010,5.1,1.226,326104,80.2
2011,5.1,1.244,329087,80.6
2012,5.3,1.297,327073,80.9
2013,5.3,1.187,322807,81.4
2014,5.3,1.205,305507,81.8
2015,5.4,1.239,302828,82.1
2016,5.5,1.172,281635,82.4
2017,5.6,1.052,264455,82.7
