"year","seoul","busan","daegu","incheon","gwangju","gwanju"
1997,93932,27890,19179,20528,10654,10654
1998,88219,27123,18139,19929,10319,10319
1999,85215,25495,17850,18718,10303,10303
2000,78745,23343,16124,17857,9557,9557
2001,77376,21825,14833,17066,8765,8765
2002,72696,20916,13741,16851,8230,8230
2003,72750,20027,14028,15720,7760,7760
2004,71553,19898,13792,15900,8012,8012
2005,71286,18973,13152,16515,7827,7827
2006,73924,20017,13892,17261,8487,8487
2007,76399,21484,14655,18227,8858,8858
2008,71753,20149,13743,18108,8472,8472
2009,68841,18614,12844,16643,8088,8088
2010,70466,20195,13479,17407,8566,8566
2011,71519,20224,13813,18013,8946,8946
2012,71695,20362,13642,18079,8596,8596
2013,68819,20734,13601,18010,8820,8820
2014,64823,18927,12552,17251,8213,8213
2015,64193,18553,12545,17118,7945,7945
2016,57643,17113,12216,16092,7468,7468
2017,53776,15677,11392,15235,7141,7141
2018,52005,14781,10967,14850,6632,6632
